app_id, name, version, language, os_type, platform, legacy, path
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.9/uPCU/2251804242149378/ees_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/full/eea_nt32.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/full/eea_nt64.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/full/eea_nt32.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/full/eea_nt64.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/full/eea_nt32.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/eea_nt64.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.9/uPCU/2251804242149378/ees_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/full/eea_nt64.fup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.9/uPCU/2251804242149378/ees_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/full/eea_nt64.fup,
